"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CURD test with steps","This will create a new Categories","SUCCESS","2022-06-06T17:52:31.454+01:00[Europe/London]","0.0","22.06"
"Categories CURD test with steps","Verify if the student was added to the application","SUCCESS","2022-06-06T17:52:53.609+01:00[Europe/London]","0.0","0.26"
"Categories CURD test with steps","Update the user information and verify the updated information","SUCCESS","2022-06-06T17:52:53.874+01:00[Europe/London]","0.0","0.3"
"Categories CURD test with steps","Delete the student and verify if the student is deleted!","SUCCESS","2022-06-06T17:52:54.177+01:00[Europe/London]","0.0","1.48"
"Product CURD test with steps","This will create a new product","SUCCESS","2022-06-06T17:53:02.814+01:00[Europe/London]","0.0","0.44"
"Product CURD test with steps","Verify if the product was added to the application","SUCCESS","2022-06-06T17:53:03.261+01:00[Europe/London]","0.0","0.22"
"Product CURD test with steps","Update the product information and verify the updated information","SUCCESS","2022-06-06T17:53:03.485+01:00[Europe/London]","0.0","0.51"
"Product CURD test with steps","Delete the product and verify if the student is deleted!","SUCCESS","2022-06-06T17:53:03.995+01:00[Europe/London]","0.0","0.36"
"Services CURD test with steps","This will create a new Services","SUCCESS","2022-06-06T17:53:04.987+01:00[Europe/London]","0.0","0.31"
"Services CURD test with steps","Verify if the Services was added to the application","SUCCESS","2022-06-06T17:53:05.301+01:00[Europe/London]","0.0","0.06"
"Services CURD test with steps","Update the services information and verify the updated information","SUCCESS","2022-06-06T17:53:05.367+01:00[Europe/London]","0.0","0.27"
"Services CURD test with steps","Delete the services and verify if the services is deleted!","SUCCESS","2022-06-06T17:53:05.643+01:00[Europe/London]","0.0","0.45"
"Store CURD test with steps","This will create a new Store","SUCCESS","2022-06-06T17:53:06.529+01:00[Europe/London]","0.0","0.5"
"Store CURD test with steps","Verify if the Store was added to the application","SUCCESS","2022-06-06T17:53:07.034+01:00[Europe/London]","0.0","0.06"
"Store CURD test with steps","Update the store information and verify the updated information","SUCCESS","2022-06-06T17:53:07.100+01:00[Europe/London]","0.0","0.32"
"Store CURD test with steps","Delete the store and verify if the store is deleted!","SUCCESS","2022-06-06T17:53:07.424+01:00[Europe/London]","0.0","0.23"
